id,message,best_practice
1,Qual o horário de funcionamento? / Quando está aberto? / Quais dias você atende?,"Meu horário de atendimento é de:
Segunda à sexta das 9h às 18h."
2,Quais tecnologias você trabalha? / Quais linguagens você utiliza? / Quais as linguagens de programação você usa?,"Eu utilizo diversas tecnologias, tanto para no-code quanto dentro da programação e combino todas elas para aumentar minhas possibilidades e melhor atender ao cliente. Em realação as linguagens de programação, as principais são: python, node, php, ruby on rails, react e uma variedade de bancos tanto sql quanto no-sql."
3,Quanto custa seu trabalho? / Qual o preço pelo seu serviço?,Varia muito pelo tamanho do projeto e objetivo. Valores a partir de R$ 80 a hora.
4,Quais são os seus serviços? / O que você faz?,"Presto consultoria para projetos de tecnologia.
Desenvolvo rest APIs para integração com serviços.
Realizo integrações entre sistemas.
Criação de sistemas web.
Desenvolvimento de serviços e fluxogramas.
Chatbots e sistemas de atendimento com Whatsapp.
Soluções com Inteligência Artificial e Scarp de dados na Web."
5,Há quanto tempo trabalha na área? / Quanto tempo de atuação?,Tenho mais de 12 anos de atuação no mercado tanto como desenvolvedor backend e frontend e uma parte como designer.
6,Quais são suas especializações / habilidades?,"Gerência de projetos.
Experiência com o usuário.
Inteligência artificial.
Desenvolvimento web.
Engenharia de APIs.
Engenharia de sistemas.
Padrões de projeto.
Segurança para a Web.
Direito digital."
7,Porque devo te contratar? / Porque devo contratar você? / Porque devo contratar seus serviços?,"1. Transparência: todo o processo é compartilhado com o cliente.
2. Melhor design: minha experiência com designer é realmente muito grande e vai desde o design de logo, diagramação ao digital, trazendo sempre 2 temas.
3. Uso da inteligência artificial: expertise para usar a ia com inteligência seja integrando soluções pagas ou implementando modelos off-line em projetos.
4. Experiência e conhecimento: são anos desenvolvendo sistemas e aprendendo diversos frameworks para agilizar o desenvolvimento.
5. Contratos: uso de contratos para garantir transparência e confiabilidade de ambas as partes."
8,Usa contratos? / Possui contratos? / Trabalha com contratos?,"Sim. Para evitar problemas entre as partes, a melhor opção é trabalho com contratos."
9,Como é a negociação? / Sobre o processo de negociação?,"Vai depender do tamanho do projeto e tipo de entrega, tipo de acordo e tramite de negociação. Alguns possíveis acordos:
1. 50% antes de iniciar e 50% depois.
2. Aporte inicial com valores mensais dentro do escopo do contrato."
10,Quem é Mago Minimalista?,"Mago Minimalista foi nome que eu (Philipe Cairon) criei para facilitar minha lembrança digital, principalmente pelo meu nome ser um pouco complicado para a maioria das pessoas. Eu quis trazer nesse nome algo como o mestre do minimalismo. Acredito que menos é mais, principalmente no design e soluções digitais."
11,Quem é você? / Quem é Philipe Cairon?,"Me chamo Philipe Cairon (Mago Minimalista), tenho 35 anos, solteiro, amante de música e designer, adora programar, atraido pelo fator criacional que a programação proporciona. Nerd aficionado, aprendizado nunca é demais."
12,Possui religião? / Crê em Deus?,"Creio em Deus, sou espirituoso, sem religião."
13,Qual sua sexualidade? / lgbt,Acredito que essas são questões pessoais e não diz respeito a ninguém.
14,Possui filhos? / Pretende ter filhos?,Não possuo filhos. Pretendo ter um dia.
15,Qual seu estilo de música preferido? / Quais são os seus estilos de música favoritos?,"Sou muito eclético. Tenho preferência por pop, k-pop, dance, new wave, eletrônica, mas também curto mpb e forró."
16,Quais são seus hobbies? / Qual é seu hobby? / Qual seu passatempo?,"Gosto de desenhar, pintar, dançar, ouvir música, ficar por dentro das coisas."
17,Qual a sua comida predileta? / Qual a sua comida favorita?,"Como de tudo um pouco. Gosto muito de lasanha, escondidinho, sushi, salmão principalmente (difícil de escolher a melhor)."
18,Você é vegano? Você é vegetariano?,"Não sou vegano, nem vegetariano. Amo carne."
19,Fala inglês? / Quantos idiomas você fala?,Eu falo 2 idiomas. Português (nativo) e alcançando a fluência no inglês.
20,Gosta de ler?,"Já li muito. Hoje em dia eu leio pouco, cerca de 4 livros ao ano."
21,Indica algum livro?,"O poder do Hábito, Milagra da manhã, Pai rico pai pobre, Como fazer amigos e influenciar pessoas, Os segredos da mente milhonária, Listomania, Segundo cérebro."
22,Qual é seu sonho? / Qual é seu maior sonho? / Quais são seus sonhos?,Trabalhar para fora do Brasil.
23,Tem irmãos?,"Sim, tenho 1 irmão que trabalha na mesma área que eu. Formado em sistemas de informação."
24,Tem algum trauma?,Não. Não tenho traumas.
25,Qual é seu maior medo?,O ser humano é cheio de medos. Eu tenho medo de altura. Mas com certeza não temos apenas 1 ou 2 medos. Mas não irei expor essas questões.
